,stocklong,country,Region,Year,Years,N,Brel_MRA,mean(Delta_Brel),mean(Delta_B),mean(Delta_B1),sd(Delta_Brel),sd(Delta_B),sd(Delta_B1),Fishery group,Price
47,Greenland halibut North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,North-East Arctic,1992,22,2,2.446666667,0.386806699,-2.509795861,-2.89660256,0.325797846,0.354271208,0.028473362,Miscellaneous pelagic fishes,640
48,Haddock North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,North-East Arctic,1950,67,5,2.561904762,-0.136462838,-0.416955515,-0.280492676,0.330248582,0.547045299,0.251696223,"Cods, hakes, haddocks",1650
49,Pollock North-East Arctic,Multinational_ICES Arctic Fisheries Working Group,North-East Arctic,1960,58,6,0.830802603,0.113169379,0.037656121,-0.075513257,0.463117762,0.240170196,0.268920109,"Cods, hakes, haddocks",1650
50,Atlantic cod Eastern Baltic,Multinational_ICES Baltic Fisheries Assessment Working Group,Eastern Baltic,1966,47,2,1.058823529,0.321532778,0.33328114,0.011748363,0.285632408,0.285558412,7.40E-05,"Cods, hakes, haddocks",1650
51,Atlantic cod Kattegat,Multinational_ICES Baltic Fisheries Assessment Working Group,Kattegat ,1971,41,1,0.0778157,0.034931746,0.216940398,0.182008652,NA,NA,NA,"Cods, hakes, haddocks",1650
52,Atlantic cod Western Baltic,Multinational_ICES Baltic Fisheries Assessment Working Group,Western Baltic,1994,24,7,0.816129032,0.302077936,0.460485718,0.158407782,0.369867738,0.490719735,0.161936382,"Cods, hakes, haddocks",1650
53,Herring Bothnian Bay,Multinational_ICES Baltic Fisheries Assessment Working Group,Bothnian Bay,1980,30,1,0.228205128,0.107756292,0.11369305,0.005936758,NA,NA,NA,"Cods, hakes, haddocks",1650
54,Herring Bothnian Sea,Multinational_ICES Baltic Fisheries Assessment Working Group,Bothnian Sea,1973,43,5,4.387096774,0.278773823,0.031093766,-0.247680057,0.267305102,0.382589291,0.170871347,"Herrings, sardines, anchovies",660
55,Herring Eastern Baltic,Multinational_ICES Baltic Fisheries Assessment Working Group,Eastern Baltic,1974,37,1,0.297175141,0.568793261,0.557877973,-0.010915288,NA,NA,NA,"Herrings, sardines, anchovies",660
56,Herring Gulf of Riga East of Gotland,Multinational_ICES Baltic Fisheries Assessment Working Group,Gulf of Riga,1977,41,7,1.653211009,-0.183133599,-0.177425205,0.005708394,0.133346267,0.131188802,0.014933802,"Herrings, sardines, anchovies",660
57,Atlantic cod Faroe Plateau,Multinational_ICES North-Western Working Group,Europe non EU,1959,59,7,0.732217573,0.140772631,0.130107591,-0.010665041,0.268679048,0.250933545,0.024929261,"Cods, hakes, haddocks",1650
58,Atlantic cod Iceland Grounds,Multinational_ICES North-Western Working Group,Iceland Grounds,1955,63,7,0.687763713,0.019638227,0.037863159,0.018224933,0.039643643,0.076899193,0.072539889,"Cods, hakes, haddocks",1650
59,Haddock Faroe Plateau,Multinational_ICES North-Western Working Group,Faroe Plateau ,1957,61,7,0.507014028,0.297150377,0.316833538,0.019683161,0.115604682,0.118123922,0.006046942,"Sharks, rays, chimaeras",1200
60,Haddock Iceland Grounds,Multinational_ICES North-Western Working Group,Iceland Grounds,1979,38,6,0.790842872,-0.070318777,-0.0663667,0.003952077,0.051640171,0.057843178,0.009680572,"Cods, hakes, haddocks",1650
61,Herring Iceland (Summer spawners),Multinational_ICES North-Western Working Group,Europe non EU,1987,31,7,0.578125,-0.035593063,-0.031920441,0.003672622,0.330005252,0.334347632,0.009716845,"Herrings, sardines, anchovies",660
62,Pollock Faroe Plateau,Multinational_ICES North-Western Working Group,Europe non EU,1961,57,7,1.040435459,0.401522596,0.485372773,0.083850177,0.320409914,0.249196908,0.083561725,"Shrimps, prawns",4100
63,Anchovy Bay of Biscay,Multinational_ICES Other Working Groups,Bay of Biscay,1987,30,4,4.788732394,0.028511601,0.064141292,0.035629691,0.255623056,0.248602334,0.024853587,"Herrings, sardines, anchovies",660
